workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,std_runtime_ms,sha_round,sha_eliminated,scaling_law_alpha,scaling_law_beta,extrapolated_runtime_ms,extrapolation_error_pct,ad_overhead_ratio,profiler_phase,profiler_decision
asian,cpu,none,1000,e2-standard-8,8.660631999996818,0.12926611968982138,0,0,,,,,1.0,sha_round_0,
asian,jax,forward,1000,e2-standard-8,339.20661766666643,4.841869257732434,0,0,,,,,4.167521193198949,sha_round_0,
asian,jax,forward,1000,e2-standard-8,339.20661766666643,4.841869257732434,0,1,,,,,4.167521193198949,sha_round_0,
asian,jax,none,1000,e2-standard-8,75.71192666667532,3.252678036647591,0,0,,,,,1.0,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,255.20305366666207,9.346068156930803,0,0,,,,,3.195412948612483,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,255.20305366666207,9.346068156930803,0,1,,,,,3.195412948612483,sha_round_0,
european,cpu,none,1000,e2-standard-8,0.10000999999704163,0.016966446296605764,0,0,,,,,1.0,sha_round_0,
european,jax,forward,1000,e2-standard-8,2.2478740000053676,0.6365611563606888,0,0,,,,,4.290081493198814,sha_round_0,
european,jax,forward,1000,e2-standard-8,2.2478740000053676,0.6365611563606888,0,1,,,,,4.290081493198814,sha_round_0,
european,jax,none,1000,e2-standard-8,0.7534323333355056,0.06902116800647698,0,0,,,,,1.0,sha_round_0,
european,jax,reverse,1000,e2-standard-8,2.696847000000465,0.7024018928563996,0,0,,,,,4.105335666108226,sha_round_0,
european,jax,reverse,1000,e2-standard-8,2.696847000000465,0.7024018928563996,0,1,,,,,4.105335666108226,sha_round_0,
european,rust,none,1000,e2-standard-8,0.13374333332668206,0.04775958262994609,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-8,13.837674000001243,0.26182720411912713,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-8,13.837674000001243,0.26182720411912713,0,1,,,,,1.0,sha_round_0,
european_local_vol,jax,forward,1000,e2-standard-8,46.77641733333834,0.681902721343198,0,0,,,,,4.011132903978561,sha_round_0,
european_local_vol,jax,forward,1000,e2-standard-8,46.77641733333834,0.681902721343198,0,1,,,,,4.011132903978561,sha_round_0,
european_local_vol,jax,none,1000,e2-standard-8,11.086028333333312,0.44997483674347505,0,0,,,,,1.0,sha_round_0,
european_local_vol,jax,reverse,1000,e2-standard-8,28.534916333337417,0.2344469715488109,0,0,,,,,2.5604686175298963,sha_round_0,
european_local_vol,jax,reverse,1000,e2-standard-8,28.534916333337417,0.2344469715488109,0,1,,,,,2.5604686175298963,sha_round_0,
european_local_vol,rust,none,1000,e2-standard-8,2.530667666666394,0.01837033506267808,0,0,,,,,1.0,sha_round_0,
european_local_vol,rust,none,1000,e2-standard-8,2.530667666666394,0.01837033506267808,0,1,,,,,1.0,sha_round_0,
asian,cpu,none,5000,e2-standard-8,34.132150400003525,0.21614778538520607,1,0,,,,,1.0,sha_round_1,
asian,cpu,none,5000,e2-standard-8,34.132150400003525,0.21614778538520607,1,1,,,,,1.0,sha_round_1,
asian,jax,none,5000,e2-standard-8,83.84902540000212,0.9110198832497508,1,0,,,,,1.0,sha_round_1,
european,cpu,none,5000,e2-standard-8,0.17186379999714063,0.035126608389023324,1,0,,,,,1.0,sha_round_1,
european,jax,none,5000,e2-standard-8,0.9303136000056611,0.1812878545012813,1,0,,,,,1.0,sha_round_1,
european,rust,none,5000,e2-standard-8,0.20086579999372134,0.053254470925614285,1,0,,,,,1.0,sha_round_1,
european,rust,none,5000,e2-standard-8,0.20086579999372134,0.053254470925614285,1,1,,,,,1.0,sha_round_1,
european_local_vol,jax,none,5000,e2-standard-8,43.60785260000455,0.29782239263269233,1,0,,,,,1.0,sha_round_1,
asian,jax,none,25000,e2-standard-8,121.81420357142615,4.288440297967884,2,0,,,,,1.0,sha_round_2,
european,cpu,none,25000,e2-standard-8,0.5037067142836804,0.03308824455923343,2,0,,,,,1.0,sha_round_2,
european,jax,none,25000,e2-standard-8,1.2093197142815728,0.16292354122200692,2,0,,,,,1.0,sha_round_2,
european_local_vol,jax,none,25000,e2-standard-8,138.14851271428705,4.724053663713591,2,0,,,,,1.0,sha_round_2,
