workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,std_runtime_ms,sha_round,sha_eliminated,scaling_law_alpha,scaling_law_beta,extrapolated_runtime_ms,extrapolation_error_pct,ad_overhead_ratio,profiler_phase,profiler_decision
european_local_vol,cpu,none,1000,c2d-standard-4,12.104896333331302,0.03391175164883225,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,c2d-standard-4,12.44086400000318,0.03512996802499332,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,c2d-standard-4,12.44086400000318,0.03512996802499332,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,c2d-standard-4,12.427377666673086,0.0377754969870849,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,c2d-standard-4,12.427377666673086,0.0377754969870849,0,1,,,,,1.0,sha_round_0,
european_local_vol,jax,forward,1000,c2d-standard-4,38.79391700000193,0.7018360412636819,0,0,,,,,4.6920237884221025,sha_round_0,
european_local_vol,jax,forward,1000,c2d-standard-4,38.79391700000193,0.7018360412636819,0,1,,,,,4.6920237884221025,sha_round_0,
european_local_vol,jax,forward,1000,c2d-standard-4,39.522195333328604,0.33444995709216563,0,0,,,,,4.756177070787585,sha_round_0,
european_local_vol,jax,forward,1000,c2d-standard-4,39.522195333328604,0.33444995709216563,0,1,,,,,4.756177070787585,sha_round_0,
european_local_vol,jax,forward,1000,c2d-standard-4,38.29852266666952,0.48020033898065617,0,0,,,,,4.6745604553648965,sha_round_0,
european_local_vol,jax,forward,1000,c2d-standard-4,38.29852266666952,0.48020033898065617,0,1,,,,,4.6745604553648965,sha_round_0,
european_local_vol,jax,none,1000,c2d-standard-4,8.973103666666779,0.09545477113612255,0,0,,,,,1.0,sha_round_0,
european_local_vol,jax,none,1000,c2d-standard-4,8.284724333336158,0.0224709912014225,0,0,,,,,1.0,sha_round_0,
european_local_vol,jax,none,1000,c2d-standard-4,8.244489999995608,0.08243308512690203,0,0,,,,,1.0,sha_round_0,
european_local_vol,jax,reverse,1000,c2d-standard-4,17.835844666663547,2.431961151026123,0,0,,,,,2.1781994159995124,sha_round_0,
european_local_vol,jax,reverse,1000,c2d-standard-4,17.835844666663547,2.431961151026123,0,1,,,,,2.1781994159995124,sha_round_0,
european_local_vol,jax,reverse,1000,c2d-standard-4,21.06767333333437,0.851227246483752,0,0,,,,,2.497540218255958,sha_round_0,
european_local_vol,jax,reverse,1000,c2d-standard-4,21.06767333333437,0.851227246483752,0,1,,,,,2.497540218255958,sha_round_0,
european_local_vol,jax,reverse,1000,c2d-standard-4,21.373490333336537,0.35932226820571167,0,0,,,,,2.6140502948224627,sha_round_0,
european_local_vol,jax,reverse,1000,c2d-standard-4,21.373490333336537,0.35932226820571167,0,1,,,,,2.6140502948224627,sha_round_0,
european_local_vol,rust,none,1000,c2d-standard-4,4.2860053333365995,0.0029945339134301017,0,0,,,,,1.0,sha_round_0,
european_local_vol,rust,none,1000,c2d-standard-4,4.2860053333365995,0.0029945339134301017,0,1,,,,,1.0,sha_round_0,
european_local_vol,rust,none,1000,c2d-standard-4,4.336464666669333,0.16901710177792845,0,0,,,,,1.0,sha_round_0,
european_local_vol,rust,none,1000,c2d-standard-4,4.336464666669333,0.16901710177792845,0,1,,,,,1.0,sha_round_0,
asian,cpu,none,5000,c2d-standard-4,29.512339600000814,0.04796345661926113,1,0,,,,,1.0,sha_round_1,
asian,cpu,none,5000,c2d-standard-4,29.512339600000814,0.04796345661926113,1,1,,,,,1.0,sha_round_1,
asian,cpu,none,5000,c2d-standard-4,28.950180800001135,0.09458181358270167,1,0,,,,,1.0,sha_round_1,
asian,cpu,none,5000,c2d-standard-4,28.950180800001135,0.09458181358270167,1,1,,,,,1.0,sha_round_1,
asian,jax,none,5000,c2d-standard-4,70.8953159999993,2.4930736371856033,1,0,,,,,1.0,sha_round_1,
asian,jax,none,5000,c2d-standard-4,69.26450539999678,3.2694655319014214,1,0,,,,,1.0,sha_round_1,
asian,jax,none,5000,c2d-standard-4,70.74560359999964,2.9046349248934846,1,0,,,,,1.0,sha_round_1,
european,cpp,none,5000,c2d-standard-4,0.04665920000093138,0.002485480273230522,1,0,,,,,1.0,sha_round_1,
european,cpp,none,5000,c2d-standard-4,0.04665920000093138,0.002485480273230522,1,1,,,,,1.0,sha_round_1,
european,cpp,none,5000,c2d-standard-4,0.052657400001976384,0.013451580218885787,1,0,,,,,1.0,sha_round_1,
european,cpp,none,5000,c2d-standard-4,0.052657400001976384,0.013451580218885787,1,1,,,,,1.0,sha_round_1,
european,jax,none,5000,c2d-standard-4,0.4281944000041449,0.03632439217197634,1,0,,,,,1.0,sha_round_1,
european,jax,none,5000,c2d-standard-4,0.4306982000031212,0.019963727769753383,1,0,,,,,1.0,sha_round_1,
european,jax,none,5000,c2d-standard-4,0.4198633999976664,0.02039048778000373,1,0,,,,,1.0,sha_round_1,
european_local_vol,jax,none,5000,c2d-standard-4,37.97320039999761,0.1082811154269118,1,0,,,,,1.0,sha_round_1,
european_local_vol,jax,none,5000,c2d-standard-4,38.507229399996845,0.10655025292884532,1,0,,,,,1.0,sha_round_1,
european_local_vol,jax,none,5000,c2d-standard-4,38.430527400001324,0.14132683879052627,1,0,,,,,1.0,sha_round_1,
asian,jax,none,25000,c2d-standard-4,121.29124357143033,4.67612494255546,2,0,,,,,1.0,sha_round_2,
asian,jax,none,25000,c2d-standard-4,119.80066200000091,3.100285463656649,2,0,,,,,1.0,sha_round_2,
asian,jax,none,25000,c2d-standard-4,121.12559257142712,4.479613849448317,2,0,,,,,1.0,sha_round_2,
european,jax,none,25000,c2d-standard-4,0.6394720000011083,0.044420006899494394,2,0,,,,,1.0,sha_round_2,
european,jax,none,25000,c2d-standard-4,0.6644617142857864,0.04289904138272022,2,0,,,,,1.0,sha_round_2,
european,jax,none,25000,c2d-standard-4,0.6560570000004873,0.022805639117251315,2,0,,,,,1.0,sha_round_2,
european_local_vol,jax,none,25000,c2d-standard-4,134.2748871428593,2.730771049729855,2,0,,,,,1.0,sha_round_2,
european_local_vol,jax,none,25000,c2d-standard-4,133.35369242857098,1.3884841157221393,2,0,,,,,1.0,sha_round_2,
european_local_vol,jax,none,25000,c2d-standard-4,133.7971451428562,4.134382130457931,2,0,,,,,1.0,sha_round_2,
asian,cpu,none,1000,e2-standard-4,12.084496666659561,0.022496062067403066,0,0,,,,,1.0,sha_round_0,
asian,cpu,none,1000,e2-standard-4,12.058234333342929,0.24687482818767276,0,0,,,,,1.0,sha_round_0,
asian,cpu,none,1000,e2-standard-4,11.439554666670423,0.07493524775451274,0,0,,,,,1.0,sha_round_0,
asian,cpu,none,1000,e2-standard-4,12.041858666672548,0.05699339644889596,0,0,,,,,1.0,sha_round_0,
asian,jax,forward,1000,e2-standard-4,534.6507313333385,4.214783396977308,0,0,,,,,4.601318135633084,sha_round_0,
asian,jax,forward,1000,e2-standard-4,534.6507313333385,4.214783396977308,0,1,,,,,4.601318135633084,sha_round_0,
asian,jax,forward,1000,e2-standard-4,568.9221450000019,21.706100720056348,0,0,,,,,4.728121712889367,sha_round_0,
asian,jax,forward,1000,e2-standard-4,568.9221450000019,21.706100720056348,0,1,,,,,4.728121712889367,sha_round_0,
asian,jax,forward,1000,e2-standard-4,484.4463879999997,6.433988849801948,0,0,,,,,4.54439459638865,sha_round_0,
asian,jax,forward,1000,e2-standard-4,484.4463879999997,6.433988849801948,0,1,,,,,4.54439459638865,sha_round_0,
asian,jax,forward,1000,e2-standard-4,537.9161603333292,6.538836549668896,0,0,,,,,4.799442367174005,sha_round_0,
asian,jax,forward,1000,e2-standard-4,537.9161603333292,6.538836549668896,0,1,,,,,4.799442367174005,sha_round_0,
asian,jax,none,1000,e2-standard-4,110.78224133332999,3.3706904291918787,0,0,,,,,1.0,sha_round_0,
asian,jax,none,1000,e2-standard-4,110.78224133332999,3.3706904291918787,0,1,,,,,1.0,sha_round_0,
asian,jax,none,1000,e2-standard-4,110.70567766666765,2.450466421988177,0,0,,,,,1.0,sha_round_0,
asian,jax,none,1000,e2-standard-4,104.58916233333564,5.57325683442863,0,0,,,,,1.0,sha_round_0,
asian,jax,none,1000,e2-standard-4,112.79551366666851,6.822949519660828,0,0,,,,,1.0,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,377.80953166667547,5.750391657551068,0,0,,,,,3.2810192394993836,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,377.80953166667547,5.750391657551068,0,1,,,,,3.2810192394993836,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,388.3388466666702,4.36864488299229,0,0,,,,,3.2872766825580433,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,388.3388466666702,4.36864488299229,0,1,,,,,3.2872766825580433,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,340.04302133334363,6.012541692250554,0,0,,,,,3.126071429613482,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,340.04302133334363,6.012541692250554,0,1,,,,,3.126071429613482,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,372.4331399999983,10.739895532866804,0,0,,,,,3.210463951360367,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,372.4331399999983,10.739895532866804,0,1,,,,,3.210463951360367,sha_round_0,
european,cpp,none,1000,e2-standard-4,0.02698666667318624,0.008018745792765835,0,0,,,,,1.0,sha_round_0,
