method,objective,task,round_index,budget_M,candidate_id,rank,score,promoted,reason
plain_sha,union,ad_required,1,5000,ad_required|european_local_vol|jax|reverse|c2d-standard-4,3,1.1717948484162108,True,base_cutoff
plain_sha,union,ad_required,1,5000,ad_required|european_local_vol|jax|reverse|t2d-standard-4,1,1.0168403808150797,True,base_cutoff
plain_sha,union,price_only,2,25000,price_only|european_local_vol|cpp|none|t2d-standard-4,3,1.0824131884728185,True,base_cutoff
plain_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|e2-standard-4,4,1.1670876554762668,False,eliminated_by_rank
plain_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|n2-standard-4,6,1.241075252137481,False,eliminated_by_rank
plain_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|n2d-standard-4,2,1.0558607331405094,True,base_cutoff
plain_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|c2d-standard-4,5,1.201629886295007,True,base_cutoff
plain_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|t2d-standard-4,1,1.0103814671346973,True,base_cutoff
plain_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|n2d-standard-4,2,1.1128037270830289,True,base_cutoff
plain_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|c2d-standard-4,3,1.1845071064864274,True,base_cutoff
plain_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|t2d-standard-4,1,1.0140404712331132,True,base_cutoff
guarded_sha,union,price_only,0,1000,price_only|european_local_vol|cpu|none|e2-standard-4,20,3.6807014693541307,False,eliminated_by_rank
guarded_sha,union,price_only,0,1000,price_only|european_local_vol|cpu|none|n2-standard-4,17,3.2268261018890914,False,eliminated_by_rank
guarded_sha,union,price_only,0,1000,price_only|european_local_vol|cpu|none|n2d-standard-4,16,3.085563881396512,False,eliminated_by_rank
guarded_sha,union,price_only,0,1000,price_only|european_local_vol|cpu|none|c2d-standard-4,19,3.3551819223744945,True,engine_diversity
guarded_sha,union,price_only,0,1000,price_only|european_local_vol|cpu|none|t2d-standard-4,15,2.971652901168803,True,engine_diversity
guarded_sha,union,price_only,0,1000,price_only|european_local_vol|jax|none|e2-standard-4,14,2.784628442904589,False,eliminated_by_rank
guarded_sha,union,price_only,0,1000,price_only|european_local_vol|jax|none|n2-standard-4,18,3.3301134106486905,False,eliminated_by_rank
