candidate_id,task,engine,ad_mode,instance_type,budget_M,stage,valid,runtime_ms,cost_per_run,score,price,greeks,memory_peak_mb,correctness_passed,capacity_passed,failure_reason
ad_required|european_local_vol|jax|forward|e2-standard-4,ad_required,jax,forward,e2-standard-4,100000,full_grid,True,4028.4364356666724,0.0001499473562164817,3.128146803843337,10.490112213077344,"{""d_a0"": 6.563660339087661, ""d_a1"": 0.0167508470577397, ""d_a2"": 0.04996795994813322, ""d_b1"": 3.2584998360836552, ""d_sigma_min"": 37.8926812661124, ""delta"": 0.6391305915188645}",0.2578125,True,True,
ad_required|european_local_vol|jax|reverse|e2-standard-4,ad_required,jax,reverse,e2-standard-4,100000,full_grid,True,2376.7898346666716,8.846939940148168e-05,1.8456161946339513,10.490112213077344,"{""d_a0"": 6.5636603390876544, ""d_a1"": 0.0167508470577397, ""d_a2"": 0.049967959948133266, ""d_b1"": 3.258499836083656, ""d_sigma_min"": 37.89268126611241, ""delta"": 0.6391305915188643}",1.10546875,True,True,
price_only|european_local_vol|cpp|none|e2-standard-4,price_only,cpp,none,e2-standard-4,100000,full_grid,True,816.2080366666752,3.0381076920370687e-05,1.6938273851863634,10.481566278295533,{},0.0,True,True,
price_only|european_local_vol|rust|none|e2-standard-4,price_only,rust,none,e2-standard-4,100000,full_grid,True,616.4534999999963,2.294576916666653e-05,1.2792888247685736,10.64809435377402,{},0.0,True,True,
price_only|european_local_vol|cpu|none|n2-standard-4,price_only,cpu,none,n2-standard-4,1000,probe,True,13.358431333330145,7.20242089388717e-07,3.2031524264220232,10.61770514427381,{},1.80078125,True,True,
price_only|european_local_vol|jax|none|n2-standard-4,price_only,jax,none,n2-standard-4,1000,probe,True,13.78602066665735,7.432962809439421e-07,3.3056819657356615,10.338233718138095,{},9.65234375,True,True,
ad_required|european_local_vol|jax|forward|n2-standard-4,ad_required,jax,forward,n2-standard-4,1000,probe,True,65.26398199999524,3.5188163628330763e-06,2.8853158123485048,10.338233718138095,"{""d_a0"": 6.494731495827178, ""d_a1"": 0.05664999223427327, ""d_a2"": 0.07282960346299938, ""d_b1"": 3.4252179789882597, ""d_sigma_min"": 37.49164322615572, ""delta"": 0.6294122089302757}",2.8359375,True,True,
ad_required|european_local_vol|jax|reverse|n2-standard-4,ad_required,jax,reverse,n2-standard-4,1000,probe,True,36.22257166666524,1.953000322361034e-06,1.6013972116161066,10.338233718138095,"{""d_a0"": 6.4947314958271845, ""d_a1"": 0.05664999223427316, ""d_a2"": 0.07282960346299935, ""d_b1"": 3.4252179789882615, ""d_sigma_min"": 37.49164322615571, ""delta"": 0.6294122089302758}",0.0,True,True,
price_only|european_local_vol|cpp|none|n2-standard-4,price_only,cpp,none,n2-standard-4,1000,probe,True,6.080411666668321,3.27835529027867e-07,1.4579919526283245,10.799289953487207,{},0.0,True,True,
price_only|european_local_vol|rust|none|n2-standard-4,price_only,rust,none,n2-standard-4,1000,probe,True,5.004558000014943,2.6982908550080563e-07,1.200018303116237,11.3323566566157,{},0.0,True,True,
price_only|european_local_vol|cpu|none|n2-standard-4,price_only,cpu,none,n2-standard-4,5000,probe,True,42.6108040000012,2.2974325156667315e-06,2.055637060770108,10.802516077745299,{},9.59375,True,True,
price_only|european_local_vol|jax|none|n2-standard-4,price_only,jax,none,n2-standard-4,5000,probe,True,58.74496566665736,3.167332732193942e-06,2.833983807441067,10.858841281852154,{},14.6171875,True,True,
